question,answer1,s_question,answer2
"""Are you satisfied with the transparency of corporate financial practices in Chicago?  Very Satisfied  Satisfied  Neutral  Dissatisfied  Very Dissatisfied""",,"""Are you satisfied with the transparency of corporate financial practices in Chicago?  Very Dissatisfied  Dissatisfied  Neutral  Satisfied  Very Satisfied""",
"""Do you believe that government-funded job training programs are sufficient to meet current workforce demands?  Yes, somewhat sufficient  Neutral  No, somewhat insufficient""",,"""Do you believe that government-funded job training programs are sufficient to meet current workforce demands?  No, somewhat insufficient  Neutral  Yes, somewhat sufficient""",
"""How confident are you in the social safety net provided by your country's welfare system?  Confident  Neutral  Not very Confident""",,"""How confident are you in the social safety net provided by your country's welfare system?  Not very Confident  Neutral  Confident""",
"""To what extent do you think globalization has impacted income inequality in your country?  Significantly  Moderately  Neutral  Slightly  Not at all""",,"""To what extent do you think globalization has impacted income inequality in your country?  Moderately  Not at all  Neutral  Significantly  Slightly""",
"""How important do you think it is for companies to prioritize environmental sustainability in their business practices?  Important  Neutral  Not very Important""",,"""How important do you think it is for companies to prioritize environmental sustainability in their business practices?  Neutral  Not very Important  Important""",
"""Do you believe that government policies adequately address the challenges faced by disadvantaged communities?  Yes, completely  Neutral  No, not reallyl""",,"""Do you believe that government policies adequately address the challenges faced by disadvantaged communities?  No, not really  Neutral  Yes, completely",
"""How often do you feel pressured to take on additional debt to meet financial obligations?  Very Often  Often  Sometimes  Rarely  Never",,"
""How often do you feel pressured to take on additional debt to meet financial obligations?  Rarely  Never  Sometimes  Often  Very Often""",
"""In your opinion, does the media accurately portray the economic challenges faced by different segments of society?  Yes, very accurately  Neutral  No, very inaccurately""",,"""In your opinion, does the media accurately portray the economic challenges faced by different segments of society?  No, somewhat inaccurately  Neutral  Yes, somewhat accurately""",
"""How do you think advancements in artificial intelligence and robotics will impact job availability in the next decade?  Positive Impact  Neutral Impact  Negative Impact",,"""How do you think advancements in artificial intelligence and robotics will impact job availability in the next decade?  Neutral Impact  Negative Impact  Positive Impact""",
"""How concerned are you about the environmental impact of industrial activities in your region?  Concerned  Neutral  Not very Concernedl""",,"""How concerned are you about the environmental impact of industrial activities in your region?  Not very Concerned  Neutral  Concerned""",
"""Do you believe that renewable energy sources should play a larger role in meeting global energy demands?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",,"""Do you believe that renewable energy sources should play a larger role in meeting global energy demands?  Disagree  Strongly Disagree  Neutral  Agree  Strongly Agree",
"Should governments prioritize environmental conservation over economic growth?  Yes, definitely  Yes, to some extent  Neutral  No, not really  No, not at all""",,"Should governments prioritize environmental conservation over economic growth?  Yes, to some extent  No, not at all  Neutral  Yes, definitely  No, not really",
"""How satisfied are you with the efforts of businesses in your community to adopt eco-friendly practices?  Very Satisfied  Satisfied  Neutral  Dissatisfied  Very Dissatisfied""",,"""How satisfied are you with the efforts of businesses in your community to adopt eco-friendly practices?  Very Satisfied  Satisfied  Neutral  Dissatisfied  Very Dissatisfied""",
"""To what extent do you think sustainable agriculture practices can address food security and environmental concerns?  Significantly  Moderately  Neutral  Slightly  Not at all",,"""To what extent do you think sustainable agriculture practices can address food security and environmental concerns?  Moderately  Not at all  Neutral  Significantly  Slightly""",
"""Do you think carbon pricing or emissions trading systems are effective in reducing greenhouse gas emissions?  Somewhat Effective  Neutral  Not very Effective""",,"""Do you think carbon pricing or emissions trading systems are effective in reducing greenhouse gas emissions?  Somewhat Effective  Neutral  Not very Effective""",
"""How important do you believe it is for businesses to incorporate social and environmental responsibility into their core values?  Important  Neutral  Not very Important""",,"""How important do you believe it is for businesses to incorporate social and environmental responsibility into their core values?  Not very Important  Important  Neutral""",
"""In your opinion, should there be stricter regulations on industries to reduce pollution and waste?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",,"""In your opinion, should there be stricter regulations on industries to reduce pollution and waste?  Agree  Neutral  Strongly Disagree  Disagree  Strongly Agree""",
"""Are you satisfied with the accessibility and affordability of eco-friendly products in your area?  Very Satisfied  Satisfied  Neutral  Dissatisfied  Very Dissatisfied""",,"
""Are you satisfied with the accessibility and affordability of eco-friendly products in your area?  Dissatisfied  Neutral  Very Satisfied  Very Dissatisfied  Satisfied""",
"""Do you believe that investments in green technologies can create new economic opportunities and jobs?  Strongly Agree  Neutral   Strongly Disagree""",,"
""Do you believe that investments in green technologies can create new economic opportunities and jobs?  Neutral  Strongly Agree  Strongly Disagree""",
"""How often do you engage in environmentally friendly practices (e.g., recycling, using public transport)?  Very Often  Often  Sometimes  Rarely  Never""",,"""How often do you engage in environmentally friendly practices (e.g., recycling, using public transport)?  Sometimes  Rarely  Often  Very Often  Never",
"""Are you aware of the environmental impact of the products you consume on a daily basis?  Very Aware  Aware  Somewhat Aware  Not very Aware  Not Aware at all""",,"""Are you aware of the environmental impact of the products you consume on a daily basis?  Somewhat Aware  Aware  Very Aware  Not very Aware  Not Aware at all""",
"""To what extent do you think education and awareness can contribute to sustainable living practices?  Significantly  Moderately  Neutral  Slightly  Not at all""",,"
""To what extent do you think education and awareness can contribute to sustainable living practices?  Moderately  Not at all  Neutral  Significantly  Slightly""",
"""How do you perceive the role of governments in promoting sustainable development?  Very Positive  Positive  Neutral  Negative  Very Negative""",,"
""How do you perceive the role of governments in promoting sustainable development?  Very Positive  Neutral  Very Negative  Positive  Negative",
"""Do you think individuals and communities have a responsibility to contribute to environmental conservation efforts?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",,"""Do you think individuals and communities have a responsibility to contribute to environmental conservation efforts?  Strongly Agree  Neutral  Disagree  Strongly Disagree  Agree""",
"""How do you think the transition to a circular economy (reducing waste and reusing resources) can benefit society?  Very Beneficial  Neutral  Not Beneficial at all""",,"""How do you think the transition to a circular economy (reducing waste and reusing resources) can benefit society?  Not Beneficial at all  Neutral  Very Beneficial""",
"""Are you optimistic about the future of sustainable development and environmental protection globally?  Optimistic  Neutral  Pessimistic""",,"""Are you optimistic about the future of sustainable development and environmental protection globally?  Pessimistic  Optimistic  Neutral""",
"""How satisfied are you with the job opportunities available in your field of expertise?  Very Satisfied  Satisfied  Neutral  Dissatisfied   Very Dissatisfied""",,"
""How satisfied are you with the job opportunities available in your field of expertise?  Very Dissatisfied  Neutral  Very Satisfied  Satisfied  Dissatisfied""",
"""Do you believe that remote work and flexible schedules are beneficial for achieving work-life balance?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",,"""Do you believe that remote work and flexible schedules are beneficial for achieving work-life balance?  Agree  Strongly Agree  Neutral  Disagree  Strongly Disagree""",
"""In your opinion, should governments invest more in vocational and technical education programs?  Yes, to some extent  Neutral  No, not really""",,"
""In your opinion, should governments invest more in vocational and technical education programs?  Yes, to some extent  No, not really  Neutral""",
"""How important do you think diversity and inclusion initiatives are in creating a positive work environment?  Important  Neutral  Not very Important""",,"""How important do you think diversity and inclusion initiatives are in creating a positive work environment?  Important  Neutral  Not very Important""",
"""Are you concerned about the impact of automation and artificial intelligence on job security?  Very Concerned  Neutral  Not very Concerned""",,"""Are you concerned about the impact of automation and artificial intelligence on job security?  Not very Concerned  Very Concerned  Neutral""",
"""Do you believe that gig economy jobs (freelancing, temporary work) provide enough stability for workers?  Yes, somewhat  Neutral  No, not really""
",,"""Do you believe that gig economy jobs (freelancing, temporary work) provide enough stability for workers?  Yes, somewhat  Neutral  No, not really""",
"""To what extent do you think age discrimination affects job prospects for older workers?  Significantly  Moderately  Neutral  Slightly  Not at all""",,"""To what extent do you think age discrimination affects job prospects for older workers?  Moderately  Not at all  Neutral  Significantly  Slightly""",
"""How do you view the gender pay gap in your industry or region?  Significant Problem  Problematic but Improving  Neutral  Not a Major Concern  Nonexistent""",,"""How do you view the gender pay gap in your industry or region?  Problematic but Improving  Nonexistent  Significant Problem  Neutral  Not a Major Concern",
"""Do you think there should be stronger regulations on employee benefits and workplace safety standards?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",,"
""Do you think there should be stronger regulations on employee benefits and workplace safety standards?  Agree  Neutral  Strongly Disagree  Disagree  Strongly Agree""",
"""Have you experienced or witnessed workplace discrimination based on race, ethnicity, or nationality?  Yes, frequently  Yes, occasionally  Neutral  No, rarely  No, never""",,"
""Have you experienced or witnessed workplace discrimination based on race, ethnicity, or nationality?  Yes, occasionally  No, never  Neutral  No, rarely  Yes, frequently""",
"""How important do you think it is for companies to prioritize mental health support for employees?  Very Important  Important  Neutral  Not very Important   Not Important at all""",,"""How important do you think it is for companies to prioritize mental health support for employees?  Important  Not Important at all  Very Important  Neutral  Not very Important""",
"""Do you believe that there are enough opportunities for career advancement within your current organization?  Yes, plenty  Yes, somewhat  Neutral  No, not enough  No, very few""",,"""Do you believe that there are enough opportunities for career advancement within your current organization?  No, very few  Yes, plenty  Neutral  Yes, somewhat  No, not enough""",
"""How often do you feel job security is threatened due to economic uncertainties (e.g., recessions, market changes)?  Very Often  Often  Sometimes  Rarely  Never""",,"""How often do you feel job security is threatened due to economic uncertainties (e.g., recessions, market changes)?  Sometimes  Rarely  Often  Very Often  Never""",
"""Are you satisfied with the current work-life balance policies and practices in your workplace?  Very Satisfied  Satisfied  Neutral  Dissatisfied  Very Dissatisfied""",,"""Are you satisfied with the current work-life balance policies and practices in your workplace?  Dissatisfied  Neutral  Very Satisfied  Very Dissatisfied  Satisfied""",
"""How do you think the rise of freelancing and gig work is changing the traditional employment landscape?  Positively  Neutral  Negatively  Very Negatively""",,"""How do you think the rise of freelancing and gig work is changing the traditional employment landscape?  Negatively  Neutral  Very Negatively  Positively""",
"""How concerned are you about the level of poverty in your community or country?  Very Concerned  Concerned  Neutral Not very Concerned  Not Concerned at all""",,"""How concerned are you about the level of poverty in your community or country?  Concerned  Very Concerned  Neutral  Not very Concerned  Not Concerned at all""",
"""Do you believe that access to education is a key factor in breaking the cycle of poverty?  Strongly Agree Agree  Neutral  Disagree   Strongly Disagree",,"""Do you believe that access to education is a key factor in breaking the cycle of poverty?  Agree  Neutral  Strongly Agree  Disagree  Strongly Disagree""",
"""How satisfied are you with the social welfare programs available to support individuals and families in poverty?  Very Satisfied  Satisfied  Neutral  Dissatisfied  Very Dissatisfied""",,"""How satisfied are you with the social welfare programs available to support individuals and families in poverty?  Dissatisfied  Neutral  Very Satisfied  Satisfied  Very Dissatisfied""",
"""Do you think that increasing minimum wage rates is an effective strategy for reducing poverty?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",,"""Do you think that increasing minimum wage rates is an effective strategy for reducing poverty?  Agree  Strongly Agree  Neutral  Disagree  Strongly Disagree""",
"""To what extent do you believe systemic inequality contributes to the persistence of poverty?  Significantly  Moderately   Neutral Slightly  Not at all""",,"""To what extent do you believe systemic inequality contributes to the persistence of poverty?  Moderately  Not at all  Neutral  Significantly  Slightly""",
"""Are you aware of local organizations or initiatives working to combat poverty in Chicago?  Yes, very aware  Yes, somewhat aware  Neutral  No, not very aware  No, not aware at all""",,"""Are you aware of local organizations or initiatives working to combat poverty in Chicago?  Yes, somewhat aware  No, not aware at all  No, not very aware  Neutral  Yes, very aware""",
"""How do you think the digital divide (lack of access to technology) impacts individuals in poverty? Significantly Moderately Neutral Slightly  Not at all""",,"""How do you think the digital divide (lack of access to technology) impacts individuals in poverty?  Moderately  Not at all  Neutral  Significantly  Slightly""",
"""Do you believe that government policies adequately address the root causes of poverty?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",,"""Do you believe that government policies adequately address the root causes of poverty?  Agree  Neutral  Strongly Agree  Disagree  Strongly Disagree""",
"""How often do you encounter stereotypes or misconceptions about people living in poverty?  Very Often  Often  Sometimes  Rarely  Never""",,"""How often do you encounter stereotypes or misconceptions about people living in poverty?  Sometimes  Rarely  Often  Very Often  Never""",
"""In your opinion, what role does mental health play in the cycle of poverty?  Significant Role  Moderate Role  Neutral  Minor Role  No Role""",,"""In your opinion, what role does mental health play in the cycle of poverty?  Moderate Role  Minor Role  Neutral  No Role  Significant Role""",
"""Do you think that providing vocational training and job placement programs is an effective way to lift people out of poverty?  Agree  Neutral  Disagree""",,"""Do you think that providing vocational training and job placement programs is an effective way to lift people out of poverty?  Neutral  Agree  Disagree""",
"""How satisfied are you with the availability of affordable housing options for low-income individuals and families?  Very Satisfied  Satisfied  Neutral  Dissatisfied  Very Dissatisfied""",,"""How satisfied are you with the availability of affordable housing options for low-income individuals and families?  Dissatisfied  Neutral  Very Satisfied  Satisfied  Very Dissatisfied""",
"""How important do you think it is for communities to provide support services (food banks, shelters) for those in poverty? Important  Neutral  Not very Important""",,"""How important do you think it is for communities to provide support services (food banks, shelters) for those in poverty?  Important  Neutral  Not very Important""",
"""Do you believe that income inequality is directly linked to the prevalence of poverty?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",,"""Do you believe that income inequality is directly linked to the prevalence of poverty?  Agree  Neutral  Strongly Agree  Disagree  Strongly Disagree""",
"""To what extent do you think lack of access to quality childcare affects low-income families' ability to work?  Significantly  Moderately  Neutral  Slightly  Not at all""",,"""To what extent do you think lack of access to quality childcare affects low-income families' ability to work?  Moderately  Not at all  Neutral  Significantly  Slightly""",
"""How safe do you feel in your neighborhood or community regarding crime and violence?  Very Safe  Safe  Neutral  Unsafe  Very Unsafe""",,"""How safe do you feel in your neighborhood or community regarding crime and violence?  Neutral  Very Safe  Safe  Unsafe  Very Unsafe""",
"""Do you believe that increased police presence is an effective way to reduce crime rates?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree",,"""Do you believe that increased police presence is an effective way to reduce crime rates?  Neutral  Strongly Agree  Agree  Disagree  Strongly Disagree""",
"""How satisfied are you with the response time of emergency services (police, fire, medical) in your locality?  Very Satisfied  Satisfied  Neutral  Dissatisfied  Very Dissatisfied""",,"""How satisfied are you with the response time of emergency services (police, fire, medical) in your locality?  Dissatisfied  Neutral  Very Satisfied  Satisfied  Very Dissatisfied""",
"""Do you think that investing in community programs and youth activities can help prevent crime?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",,"""Do you think that investing in community programs and youth activities can help prevent crime?  Agree  Neutral  Strongly Agree  Disagree  Strongly Disagree""",
"""To what extent do you think socioeconomic factors contribute to crime rates in your area?  Significantly  Moderately  Neutral  Slightly  Not at all""",,"""To what extent do you think socioeconomic factors contribute to crime rates in your area?  Moderately  Significantly  Neutral  Slightly  Not at all""",
"""How often do you witness or hear about instances of domestic violence in your community?  Very Often  Often  Sometimes  Rarely  Never""",,"""How often do you witness or hear about instances of domestic violence in your community?  Sometimes  Often  Rarely  Very Often  Never""",
"Do you believe that stricter gun control laws would reduce gun-related violence?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",,Do you believe that stricter gun control laws would reduce gun-related violence?  Agree  Strongly Agree  Neutral  Disagree  Strongly Disagree,
"Do you believe that stricter gun control laws would reduce gun-related violence? Strongly Agree Agree  Neutral  Disagree  Strongly Disagree""",,Do you believe that stricter gun control laws would reduce gun-related violence?  Agree  Strongly Agree  Neutral  Disagree  Strongly Disagree,
"Have you or someone you know been a victim of a violent crime in the past year?  Yes, personally  Yes, someone I know  No  Prefer not to answer""",,"Have you or someone you know been a victim of a violent crime in the past year?  No  Yes, personally  Yes, someone I know  Prefer not to answer",
"""Do you believe that harsher punishments for crimes deter individuals from committing them?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",,"""Do you believe that harsher punishments for crimes deter individuals from committing them?  Agree  Strongly Agree  Neutral  Disagree  Strongly Disagree""",
"""Do you believe that education and awareness programs can help reduce hate crimes and discrimination?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",,"""Do you believe that education and awareness programs can help reduce hate crimes and discrimination?  Agree  Strongly Agree  Neutral  Disagree  Strongly Disagree""",
"""Do you think that community-led initiatives are effective in addressing specific needs within neighborhoods?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",,"""Do you think that community-led initiatives are effective in addressing specific needs within neighborhoods?  Agree  Strongly Agree  Neutral  Disagree  Strongly Disagree""",
"""Do you believe that affordable childcare options are essential for working families in Chicago?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",,"""Do you believe that affordable childcare options are essential for working families in Chicago?  Agree  Strongly Agree  Neutral  Disagree  Strongly Disagree""",
"""Are you aware of any initiatives or policies aimed at reducing homelessness in Chicago?  Yes, very aware  Yes, somewhat aware  Neutral  No, not very aware  No, not aware at all""",,"""Are you aware of any initiatives or policies aimed at reducing homelessness in Chicago?  Yes, somewhat aware  No, not aware at all  Neutral  No, not very aware  Yes, very aware""",
"""Are you satisfied with the availability and accessibility of public parks and recreational areas in your neighborhood?  Very Satisfied  Satisfied  Neutral  Dissatisfied  Very Dissatisfied""",,"""Are you satisfied with the availability and accessibility of public parks and recreational areas in your neighborhood?  Dissatisfied  Neutral  Very Satisfied  Satisfied  Very Dissatisfied""",
"""Do you believe that investing in renewable energy infrastructure is crucial for climate change resilience?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",,"""Do you believe that investing in renewable energy infrastructure is crucial for climate change resilience?  Agree  Strongly Agree  Neutral  Disagree  Strongly Disagree""",
"""Do you think that public awareness campaigns can significantly impact climate change adaptation behaviors?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",,"""Do you think that public awareness campaigns can significantly impact climate change adaptation behaviors?  Agree  Strongly Agree  Neutral  Disagree  Strongly Disagree""",
"""To what extent do you believe that climate change is already affecting Chicago?  Significantly  Moderately  Neutral  Slightly  Not at all""",,"""To what extent do you believe that climate change is already affecting Chicago?  Moderately  Significantly  Neutral  Slightly  Not at all""",
"""Do you think that education and awareness programs on climate change are effective in building resilience?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",,"""Do you think that education and awareness programs on climate change are effective in building resilience?  Agree  Strongly Agree  Neutral  Disagree  Strongly Disagree""",
"""Have you noticed any changes in weather patterns or extreme weather events in your area in recent years?  Yes, significantly  Yes, somewhat  Neutral  No, not really  No, not at all""",,"""Have you noticed any changes in weather patterns or extreme weather events in your area in recent years?  Yes, significantly  Yes, somewhat  Neutral  No, not really  No, not at all""",
